Rank,Country / Dependency,Region,Population,% of world,Date
1, China,Asia,"1,412,600,000",17.80%,31-Dec-21
2, India,Asia,"1,386,946,912",17.50%,18-Jan-22
3, United States,Americas,"333,073,186",4.20%,18-Jan-22
4, Indonesia[b],Asia,"271,350,000",3.42%,31-Dec-20
5, Pakistan,Asia,"225,200,000",2.84%,01-Jul-21
6, Brazil,Americas,"214,231,641",2.70%,18-Jan-22
7, Nigeria,Africa,"211,401,000",2.67%,01-Jul-21
8, Bangladesh,Asia,"172,062,576",2.17%,18-Jan-22
9, Russia[b],Europe,"146,171,015",1.84%,01-Jan-21
10, Mexico,Americas,"126,014,024",1.59%,02-Mar-20
